#0. #1. #2. #3. #4.

# H10
2.8 3.0 2.7 2.6 2.6
2.8 2.7 2.6 2.6 2.5
2.5 2.4 2.4 2.4 2.2
2.8 2.7 2.6 2.6 2.4
1.9 2.1 1.9 1.8 1.6
1.2 1.4 1.1 1.0 0.9

3.8 3.7 3.1 3.6 3.3
2.4 2.5 2.7 2.6 2.8
2.5 2.2 2.3 2.3 2.3
2.5 2.6 2.3 2.4 2.5
1.4 1.3 1.1 1.3 1.5
2.0 1.9 1.9 1.8 1.4

#H11
2.5 2.4 2.0 2.0 2.1
2.4 2.6 2.1 2.2 2.3
2.7 2.5 2.4 2.4 2.1
1.9 1.7 1.5 1.2 1.3
1.6 1.6 1.4 1.1 1.3
2.0 1.5 2.0 1.4 1.2

2.8 2.8 2.4 2.2 2.5
1.9 2.0 2.0 1.3 1.8
2.6 1.7 1.7 1.6 2.3
1.3 1.7 1.3 1.2 1.2
1.3 1.7 1.3 0.9 1.1
0.9 1.0 0.7 0.5 1.1

#H19
3.9 4.1 4.7 3.7 4.0
3.0 3.2 3.1 3.8 3.6
3.7 3.8 3.8 3.6 4.2
3.2 3.7 3.3 3.0 3.0
2.7 3.2 2.6 2.9 2.8
3.2 2.8 2.6 2.9 2.8

3.5 3.7 3.2 3.3 3.9
3.6 3.7 3.4 3.8 4.1
3.4 4.5 3.1 3.3 3.5
3.8 4.8 3.1 3.7 3.8
1.7 2.0 2.0 2.7 2.9
2.1 2.8 2.0 2.0 2.2

#H23
5.7 5.7 4.8 4.7
3.3 4.7 3.7 6.3
5.3 4.2 5.4 5.4
5.6 4.4 4.4 5.7
3.7 2.2 3.0 2.9
1.6 1.5 2.4 1.8

5.1 6.0 5.5 5.4
4.5 4.5 4.7 5.3
3.4 3.1 3.6 3.7
3.8 3.3 4.6 4.6
3.1 3.1 2.1 3.9
2.4 2.1 2.5 3.1




### TGF-beta-forsøg

#H18
### Run 1

#3.3 4.0 3.3 3.0 2.9
#1.7 2.6 1.5 1.6 1.1
#1.9 2.7 2.2 2.1 1.7
#1.7 2.4 1.8 2.0 1.5
#1.4 2.1 1.2 1.2 1.1

#2.2 2.3 2.3 2.4 2.2
#1.8 2.8 1.9 2.1 1.6
#1.8 2.0 1.8 1.9 1.3
#2.2 2.5 1.8 1.6 1.8
#0.9 1.2 1.1 1.0 0.9

#2.2 2.5 2.2 2.4 2.1
#2.3 2.9 2.2 2.7 1.5
#2.6 2.7 2.9 2.1 1.8
#1.4 1.7 1.6 1.5 1.4
#1.9 2.3 1.6 1.6 1.8

### Run 4 (ny gatingstrategi 20.09.21)
5.9 5.3 5.3 4.9 7.4
5.3 5.1 5.2 5.2 5.7
4.0 4.3 4.7 6.0 3.5
5.0 4.6 4.6 5.6 5.0
3.5 4.0 4.0 4.6 3.9

3.8 4.4 3.8 4.0 3.5
4.4 4.6 4.5 3.6 4.0
4.1 4.6 4.2 3.9 4.1
4.4 5.0 4.5 4.7 4.3
3.2 2.9 2.6 2.9 3.7

3.5 3.8 3.6 4.0 3.4
5.7 6.2 4.9 5.9 5.7
6.0 5.9 6.3 6.6 6.0
3.1 3.1 3.0 3.4 2.9
6.2 5.4 5.1 6.1 5.9


### Run 2
2.3 2.7 2.8 2.6 2.6
1.3 1.4 1.4 1.6 1.4
1.8 1.8 1.9 1.7 1.9
1.6 1.5 1.5 1.1 1.4
1.2 1.0 1.3 1.2 1.1

2.2 2.2 2.6 2.1 2.2
1.6 1.4 1.9 1.6 1.9
1.5 1.3 1.7 1.3 1.5
1.9 1.6 1.8 1.7 2.1
0.9 0.8 0.9 0.8 0.8

1.9 1.9 2.1 2.1 1.9
1.9 1.7 2.6 1.6 1.9
2.0 1.7 2.2 1.5 1.5
1.4 1.2 1.3 1.2 1.4
1.6 1.4 1.9 1.2 1.4


### Run 3 (Jenny)
4.02 3.94 3.28 3.60 3.68
3.48 3.21 2.83 2.95 3.06
3.43 2.43 2.42 2.85 2.88
3.05 2.64 2.40 2.65 2.73
3.19 2.67 2.79 2.99 3.18

3.47 2.59 2.72 3.34 3.09
3.78 2.81 2.85 2.97 2.70
2.54 2.22 2.24 2.38 2.49
3.49 3.07 2.98 3.34 3.05
1.86 1.78 1.65 2.08 1.87

3.71 2.58 2.83 2.97 3.36
2.89 3.27 3.23 3.42 3.99
2.33 2.91 2.80 2.68 2.62
1.45 1.84 1.65 1.67 2.16
2.76 3.57 2.55 4.28 3.85



#Tgfbeta H18 run1
3.3 4.0 3.3 3.0 2.9
1.7 2.6 1.5 1.6 1.1
1.9 2.7 2.2 2.1 1.7
1.7 2.4 1.8 2.0 1.5
1.4 2.1 1.2 1.2 1.1

2.2 2.3 2.3 2.4 2.2
1.8 2.8 1.9 2.1 1.6
1.8 2.0 1.8 1.9 1.3
2.2 2.5 1.8 1.6 1.8
0.9 1.2 1.1 1.0 0.9

2.2 2.5 2.2 2.4 2.1
2.3 2.9 2.2 2.7 1.5
2.6 2.7 2.9 2.1 1.8
1.4 1.7 1.6 1.5 1.4
1.9 2.3 1.6 1.6 1.8

#Tgfbeta H18 run2
2.3 2.7 2.8 2.6 2.6
1.3 1.4 1.4 1.6 1.4
1.8 1.8 1.9 1.7 1.9
1.6 1.5 1.5 1.1 1.4
1.2 1.0 1.3 1.2 1.1

2.2 2.2 2.6 2.1 2.2
1.6 1.4 1.9 1.6 1.9
1.5 1.3 1.7 1.3 1.5
1.9 1.6 1.8 1.7 2.1
0.9 0.8 0.9 0.8 0.8

1.9 1.9 2.1 2.1 1.9
1.9 1.7 2.6 1.6 1.9
2.0 1.7 2.2 1.5 1.5
1.4 1.2 1.3 1.2 1.4
1.6 1.4 1.9 1.2 1.4

### H20 data s. 122

### Struktur:
### T47D 0.0
### T47D 0.1
### T47D 0.2
### T47D 0.3
### T47D 0.5

### T47D-P 0.0
### T47D-P 0.1
### T47D-P 0.2
### T47D-P 0.3
### T47D-P 0.5

### T47D-T 0.0
### T47D-T 0.1
### T47D-T 0.2
### T47D-T 0.3
### T47D-T 0.5




### Run 1
### P2 in P1 --> P3
#3.1 2.5 2.3 3.1 3.0
#3.9 3.0 2.9 3.1 3.4
#1.6 1.3 1.1 1.1 1.8
#2.7 1.9 1.9 1.8 1.8
#2.4 2.2 2.5 1.8 2.7

#3.2 3.2 3.2 3.4 3.5
